Variable,Label,Question Location,Level,Width,Decimals,Range Minimum,Range Maximum,Value Scheme Detailed,Missing Scheme Detailed: SPSS,Missing Scheme Detailed: SAS,Field Code: SPSS,Field Code: SAS,Domain,Variable Class,Comment
ACBG08,GEN\EXISTING SCIENCE LABORATORY (2023),ScQ-08,Nominal,1,0,,,1: Yes; 2: No,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Yes; 2: No; 9: Omitted or invalid; Sysmis: Not administered,1: Yes; 2: No; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG09,GEN\ONLINE LEARNING MANAGEMENT SYSTEM (2023),ScQ-09,Nominal,1,0,,,1: Yes; 2: No,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Yes; 2: No; 9: Omitted or invalid; Sysmis: Not administered,1: Yes; 2: No; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG10A,GEN\LIBRARY OR MEDIA CENTER (2023),ScQ-10a,Nominal,1,0,,,1: Yes; 2: No,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Yes; 2: No; 9: Omitted or invalid; Sysmis: Not administered,1: Yes; 2: No; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG10B,GEN\HIGH SPEED INTERNET (2023),ScQ-10b,Nominal,1,0,,,1: Yes; 2: No,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Yes; 2: No; 9: Omitted or invalid; Sysmis: Not administered,1: Yes; 2: No; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG11AA,GEN\SHORTAGE\GEN\INSTRUCTIONAL MATERIAL (2023),ScQ-11Aa,Ordinal,1,0,,,1: Not at all; 2: A little; 3: Some; 4: A lot,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; 9: Omitted or invalid; Sysmis: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG11AB,GEN\SHORTAGE\GEN\SUPPLIES (2023),ScQ-11Ab,Ordinal,1,0,,,1: Not at all; 2: A little; 3: Some; 4: A lot,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; 9: Omitted or invalid; Sysmis: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG11AC,GEN\SHORTAGE\GEN\SCHOOL BUILDINGS (2023),ScQ-11Ac,Ordinal,1,0,,,1: Not at all; 2: A little; 3: Some; 4: A lot,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; 9: Omitted or invalid; Sysmis: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG11AD,GEN\SHORTAGE\GEN\HEATING SYSTEMS (2023),ScQ-11Ad,Ordinal,1,0,,,1: Not at all; 2: A little; 3: Some; 4: A lot,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; 9: Omitted or invalid; Sysmis: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG11AE,GEN\SHORTAGE\GEN\INSTRUCTIONAL SPACE (2023),ScQ-11Ae,Ordinal,1,0,,,1: Not at all; 2: A little; 3: Some; 4: A lot,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; 9: Omitted or invalid; Sysmis: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG11AF,GEN\SHORTAGE\GEN\TECHNOLOGICAL STAFF (2023),ScQ-11Af,Ordinal,1,0,,,1: Not at all; 2: A little; 3: Some; 4: A lot,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; 9: Omitted or invalid; Sysmis: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG11AG,GEN\SHORTAGE\GEN\AUDIO VISUAL RESOURCES (2023),ScQ-11Ag,Ordinal,1,0,,,1: Not at all; 2: A little; 3: Some; 4: A lot,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; 9: Omitted or invalid; Sysmis: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG11AH,GEN\SHORTAGE\GEN\DIGITAL DEVICES (2023),ScQ-11Ah,Ordinal,1,0,,,1: Not at all; 2: A little; 3: Some; 4: A lot,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; 9: Omitted or invalid; Sysmis: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG11AI,GEN\SHORTAGE\GEN\RESOURCES STD WITH DISAB (2023),ScQ-11Ai,Ordinal,1,0,,,1: Not at all; 2: A little; 3: Some; 4: A lot,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; 9: Omitted or invalid; Sysmis: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG11BA,GEN\SHORTAGE\MAT\TEACH SPEC MATH (2023),ScQ-11Ba,Ordinal,1,0,,,1: Not at all; 2: A little; 3: Some; 4: A lot,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; 9: Omitted or invalid; Sysmis: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG11BB,GEN\SHORTAGE\MAT\COMPUTER SOFTWARE (2023),ScQ-11Bb,Ordinal,1,0,,,1: Not at all; 2: A little; 3: Some; 4: A lot,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; 9: Omitted or invalid; Sysmis: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG11BC,GEN\SHORTAGE\MAT\LIBRARY RESOURCES (2023),ScQ-11Bc,Ordinal,1,0,,,1: Not at all; 2: A little; 3: Some; 4: A lot,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; 9: Omitted or invalid; Sysmis: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG11BD,GEN\SHORTAGE\MAT\CALCULATORS (2023),ScQ-11Bd,Ordinal,1,0,,,1: Not at all; 2: A little; 3: Some; 4: A lot,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; 9: Omitted or invalid; Sysmis: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG11BE,GEN\SHORTAGE\MAT\CONCRETE OBJECTS (2023),ScQ-11Be,Ordinal,1,0,,,1: Not at all; 2: A little; 3: Some; 4: A lot,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; 9: Omitted or invalid; Sysmis: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG11CA,GEN\SHORTAGE\SCI\TEACH SPEC SCIENCE (2023),ScQ-11Ca,Ordinal,1,0,,,1: Not at all; 2: A little; 3: Some; 4: A lot,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; 9: Omitted or invalid; Sysmis: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG11CB,GEN\SHORTAGE\SCI\COMPUTER SOFTWARE (2023),ScQ-11Cb,Ordinal,1,0,,,1: Not at all; 2: A little; 3: Some; 4: A lot,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; 9: Omitted or invalid; Sysmis: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG11CC,GEN\SHORTAGE\SCI\LIBRARY RESOURCES (2023),ScQ-11Cc,Ordinal,1,0,,,1: Not at all; 2: A little; 3: Some; 4: A lot,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; 9: Omitted or invalid; Sysmis: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG11CD,GEN\SHORTAGE\SCI\SCIENCE EQUIPMENT (2023),ScQ-11Cd,Ordinal,1,0,,,1: Not at all; 2: A little; 3: Some; 4: A lot,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; 9: Omitted or invalid; Sysmis: Not administered,1: Not at all; 2: A little; 3: Some; 4: A lot; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG12A,GEN\SCH CHARACTER\TCH UNDERSTANDING (2023),ScQ-12a,Ordinal,1,0,,,1: Very high; 2: High; 3: Medium; 4: Low; 5: Very low,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Very high; 2: High; 3: Medium; 4: Low; 5: Very low; 9: Omitted or invalid; Sysmis: Not administered,1: Very high; 2: High; 3: Medium; 4: Low; 5: Very low; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG12B,GEN\SCH CHARACTER\TCH SUCCESS (2023),ScQ-12b,Ordinal,1,0,,,1: Very high; 2: High; 3: Medium; 4: Low; 5: Very low,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Very high; 2: High; 3: Medium; 4: Low; 5: Very low; 9: Omitted or invalid; Sysmis: Not administered,1: Very high; 2: High; 3: Medium; 4: Low; 5: Very low; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG12C,GEN\SCH CHARACTER\TCH EXPECTATIONS (2023),ScQ-12c,Ordinal,1,0,,,1: Very high; 2: High; 3: Medium; 4: Low; 5: Very low,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Very high; 2: High; 3: Medium; 4: Low; 5: Very low; 9: Omitted or invalid; Sysmis: Not administered,1: Very high; 2: High; 3: Medium; 4: Low; 5: Very low; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG12D,GEN\SCH CHARACTER\TCH ABILITY TO INSPIRE (2023),ScQ-12d,Ordinal,1,0,,,1: Very high; 2: High; 3: Medium; 4: Low; 5: Very low,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Very high; 2: High; 3: Medium; 4: Low; 5: Very low; 9: Omitted or invalid; Sysmis: Not administered,1: Very high; 2: High; 3: Medium; 4: Low; 5: Very low; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
